=== Fehlerprotokoll abgelehnter Datensätze ===
ERROR | Datei: leipzig_transformed.xml | Zeile: 60 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B000AGK9XC | Datensatz: B000AGK9XC
ERROR | Datei: leipzig_transformed.xml | Zeile: 61 | Attribut: artist | Entität: music_cd | Fehlerart: Constraint-Fehler | Grund: Mindestens ein Künstler erforderlich bei ASIN: B0001K9IJI | Datensatz: B0001K9IJI
ERROR | Datei: leipzig_transformed.xml | Zeile: 62 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0002TB60M | Datensatz: B0002TB60M
ERROR | Datei: leipzig_transformed.xml | Zeile: 64 | Attribut: artist | Entität: music_cd | Fehlerart: Constraint-Fehler | Grund: Mindestens ein Künstler erforderlich bei ASIN: B000654OVA | Datensatz: B000654OVA
ERROR | Datei: leipzig_transformed.xml | Zeile: 64 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B000028DL4 | Datensatz: B000028DL4
ERROR | Datei: leipzig_transformed.xml | Zeile: 65 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0007LYSA0 | Datensatz: B0007LYSA0
ERROR | Datei: leipzig_transformed.xml | Zeile: 66 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B000B5IOSE | Datensatz: B000B5IOSE
ERROR | Datei: leipzig_transformed.xml | Zeile: 67 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0006IQXOS | Datensatz: B0006IQXOS
ERROR | Datei: leipzig_transformed.xml | Zeile: 67 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B000AND9ZK | Datensatz: B000AND9ZK
ERROR | Datei: leipzig_transformed.xml | Zeile: 67 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B000ANDA18 | Datensatz: B000ANDA18
ERROR | Datei: leipzig_transformed.xml | Zeile: 67 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B000BVLFRU | Datensatz: B000BVLFRU
ERROR | Datei: leipzig_transformed.xml | Zeile: 73 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0002Y4T92 | Datensatz: B0002Y4T92
ERROR | Datei: leipzig_transformed.xml | Zeile: 73 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B00066KX46 | Datensatz: B00066KX46
ERROR | Datei: leipzig_transformed.xml | Zeile: 73 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0007R8A9Y | Datensatz: B0007R8A9Y
ERROR | Datei: leipzig_transformed.xml | Zeile: 73 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B000ANVNHG | Datensatz: B000ANVNHG
ERROR | Datei: leipzig_transformed.xml | Zeile: 74 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0000U6K90 | Datensatz: B0000U6K90
ERROR | Datei: leipzig_transformed.xml | Zeile: 77 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0007OGXKK | Datensatz: B0007OGXKK
ERROR | Datei: leipzig_transformed.xml | Zeile: 78 | Attribut: artist | Entität: music_cd | Fehlerart: Constraint-Fehler | Grund: Mindestens ein Künstler erforderlich bei ASIN: B000AC5AY4 | Datensatz: B000AC5AY4
ERROR | Datei: leipzig_transformed.xml | Zeile: 81 | Attribut: artist | Entität: music_cd | Fehlerart: Constraint-Fehler | Grund: Mindestens ein Künstler erforderlich bei ASIN: B00099BPNS | Datensatz: B00099BPNS
ERROR | Datei: leipzig_transformed.xml | Zeile: 83 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B000B66PD4 | Datensatz: B000B66PD4
ERROR | Datei: leipzig_transformed.xml | Zeile: 85 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B0009VX4TE | Datensatz: B0009VX4TE
ERROR | Datei: leipzig_transformed.xml | Zeile: 85 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B000ANPX7C | Datensatz: B000ANPX7C
ERROR | Datei: leipzig_transformed.xml | Zeile: 85 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B000B9UHRG | Datensatz: B000B9UHRG
ERROR | Datei: leipzig_transformed.xml | Zeile: 86 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: 3898303039 | Datensatz: 3898303039
ERROR | Datei: leipzig_transformed.xml | Zeile: 88 | Attribut: similar_product_id | Entität: similar_products | Fehlerart: Constraint-Fehler | Grund: Ähnliches Produkt existiert nicht: B000B6TQQ2 | Datensatz: B000B6TQQ2
